pertanyaan,jawaban,sumber,mata_kuliah,sumber_dokumen
Berapa nomor telepon dan alamat lengkap institusi?,"Jalan Penghulu K.H. Mustapa 23 Telp. 7272215, Bandung- 40124","Jalan Penghulu K.H. Mustapa 23 Telp. 7272215, Bandung- 40124",Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Semester berapa dan tahun akademik apa yang diuji?,Semester Genap 2025/2026,SEMESTER GENAP 2025/ 2026,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Mata kuliah apa yang diuji pada evaluasi tengah semester ini?,ISB 212 - Basisdata 2,Mata Kuliah : ISB 212 - Basisdata 2,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Kapan tanggal pelaksanaan ujian tersebut?,Rabu 15 April 2026,Tanggal : Rabu 15 April 2026,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Program studi apa yang mengikuti ujian ini?,Sistem Informasi,Program Studi : Sistem Informasi,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Berapa lama waktu ujian yang dijadwalkan?,07.30 s.d 09.30,Waktu : 07.30 s.d 09.30,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Siapa dosen pengampu mata kuliah ini?,Mira Musrini M.T.,Dosen : Mira Musrini M.T.,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Apakah ujian ini bersifat open note atau close book?,open note / close book,Sifat : open note / close book,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Berapa nilai yang diperoleh Rizvan Achmad Sumantri pada kode soal 16-2020-026?,A,1 16-2020-026 RIZVAN ACHMAD SUMANTRI A,Basis Data 2,KODE SOAL ETS ISB 212 GENAP 25 26.txt
Apa dua bentuk pernyataan CASE yang dapat digunakan di SQL Server?,"Dua bentuknya adalah: 1) Kalimat CASE .. OF dengan ekspresi sederhana, dan 2) Kalimat CASE .. OF dengan perbandingan atau ekspresi yang dicari.",Pernyataan kasus dapat digunakan dalam dua bentuk di SQL Server:,Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa perbedaan utama antara CASE .. OF dengan ekspresi sederhana dan CASE .. OF dengan perbandingan atau ekspresi pencarian?,"CASE .. OF dengan ekspresi sederhana hanya memeriksa nilai yang setara dan tidak dapat berisi ekspresi Boolean, sedangkan CASE .. OF dengan perbandingan atau ekspresi pencarian dapat mengandung ekspresi Boolean atau operator pembanding.",Kalimat CASE .. OF dengan ekspresi sederhana. Kalimat CASE .. OF dengan perbandingan atau ekspresi yang dicari.,Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Tuliskan sintaks umum untuk CASE dengan ekspresi sederhana.,"CASE expression
WHEN exp_1 THEN result_1
[WHEN exp_2 THEN result_2]
[..................]
[WHEN exp_n THEN result_n]
[ELSE expression]
END",CASE expression WHEN exp_1 THEN result_1 [WHEN exp_2 THEN result_2] [..................] [WHEN exp_n THEN result_n] [ELSE expression] END,Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
"Pada contoh program pertama, apa nilai yang akan dihasilkan ketika variabel @Name berisi 'Rohatash'?",Name Found Rohatash,WHEN 'Rohatash' THEN 'Name Found Rohatash',Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Bagaimana menulis CASE yang menghasilkan kolom Remarks (Pass/Fail) berdasarkan nilai Marks?,Case When Marks > 32 Then 'Pass' Else 'Fail' End as Remarks,Case When Marks > 32 Then 'Pass' Else 'Fail' End as Remarks,Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa pernyataan SQL untuk membuat tabel student beserta kolom‑kolomnya?,"create table student ( stu_id int, stu_name varchar(20), marks int );","create table student ( stu_id int, stu_name varchar(20), marks int );",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Bagaimana cara menambahkan data mahasiswa ke dalam tabel student?,"Gunakan pernyataan INSERT INTO student VALUES('101','ravi','65'); dan seterusnya untuk setiap baris data.","Insert into student values('101','ravi','65'); Insert into student values('102','sumit','32'); Insert into student values('103','rekha','76'); Insert into student values('104','Yong','34'); Insert into student values('105','Hem','78');",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
"Tuliskan sintaks SELECT yang menampilkan Stu_Id, Stu_Name, Marks, Remarks, dan Grade menggunakan CASE, serta mengurutkan hasil berdasarkan Marks.","Select Stu_Id, Stu_Name, Marks,
Case When Marks > 32 Then 'Pass' Else 'Fail' End as Remarks,
Case When Marks >= 76 Then 'A+' When Marks >= 65 Then 'A' When Marks < 35 Then 'E' End as Grade
From Student
order by Marks","Select Stu_Id,Stu_Name,Marks, Case When Marks > 32 Then 'Pass' Else 'Fail' End as Remarks, Case When Marks >= 76 Then 'A+' When Marks >= 65 Then 'A' When Marks < 35 Then 'E' End as Grade From Student order by Marks",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa sintaks dasar perulangan WHILE di SQL Server?,"WHILE condition
BEGIN
   {...statements...}
END",WHILE condition BEGIN {...statements...} END,Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
"Dalam contoh penggunaan BREAK, apa yang terjadi ketika nilai @Counter mencapai 7?",Loop berhenti karena pernyataan BREAK dieksekusi ketika @Counter >= 7.,IF @Counter >=7 BEGIN BREAK END,Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa keuntungan utama dari stored procedure terkait kemudahan modifikasi?,"Stored procedure dapat dengan mudah dimodifikasi karena kode di dalamnya dapat diubah tanpa harus me‑restart atau melakukan deploy ulang aplikasi, cukup dengan pernyataan ALTER PROCEDURE.",It can be easily modified: We can easily modify the code inside the stored procedure without the need to restart or deploying the application.,Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana stored procedure dapat mengurangi lalu lintas jaringan?,"Ketika menggunakan stored procedure, yang dikirim melalui jaringan hanya nama prosedurnya, bukan seluruh kode T‑SQL, sehingga lalu lintas jaringan berkurang.","Reduced network traffic: When we use stored procedures instead of writing T-SQL queries at the application level, only the procedure name is passed over the network instead of the whole T-SQL code.",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Mengapa stored procedure dianggap dapat digunakan kembali (reusable)?,Stored procedure dapat dijalankan oleh banyak pengguna atau aplikasi klien tanpa perlu menulis ulang kode tersebut.,Reusable: Stored procedures can be executed by multiple users or multiple client applications without the need of writing the code again.,Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Apa manfaat keamanan yang diberikan oleh stored procedure?,"Stored procedure mengurangi ancaman dengan menghilangkan akses langsung ke tabel, dan dapat dienkripsi sehingga kode sumber tidak terlihat.",Security: Stored procedures reduce the threat by eliminating direct access to the tables.,Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana stored procedure meningkatkan performa?,"Saat pertama kali dijalankan, stored procedure membuat rencana eksekusi dan menyimpannya di buffer pool sehingga rencana tersebut dapat dipakai kembali pada eksekusi berikutnya.",Performance: The SQL Server stored procedure when executed for the first time creates a plan and stores it in the buffer pool so that the plan can be reused when it executes next time.,Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Apa yang dilakukan prosedur GetProductDesc?,"Prosedur GetProductDesc menampilkan kolom ProductID, ProductName, dan ProductDescription dengan melakukan INNER JOIN antara tabel Product dan ProductDescription.","CREATE PROCEDURE GetProductDesc AS BEGIN SET NOCOUNT ON SELECT P.ProductID,P.ProductName,PD.ProductDescription FROM Product P INNER JOIN ProductDescription PD ON P.ProductID=PD.ProductID END",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana cara menambahkan parameter pada stored procedure untuk memfilter produk tertentu?,Dengan membuat prosedur GetProductDesc_withparameters yang menerima parameter @PID INT dan menambahkan klausa WHERE P.ProductID=@PID pada query.,"CREATE PROCEDURE GetProductDesc_withparameters (@PID INT) AS BEGIN SET NOCOUNT ON SELECT P.ProductID,P.ProductName,PD.ProductDescription FROM Product P INNER JOIN ProductDescription PD ON P.ProductID=PD.ProductID WHERE P.ProductID=@PID END",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Apa fungsi parameter default pada stored procedure dan contoh penggunaannya?,Parameter default memberikan nilai bawaan jika tidak diberikan saat pemanggilan; contoh prosedur GetProductDesc_withDefaultparameters yang memiliki @PID INT =706 sehingga nilai 706 dipakai bila tidak ada nilai yang diberikan.,"CREATE PROCEDURE GetProductDesc_withDefaultparameters (@PID INT =706) AS BEGIN SET NOCOUNT ON SELECT P.ProductID,P.ProductName,PD.ProductDescription FROM Product P INNER JOIN ProductDescription PD ON P.ProductID=PD.ProductID WHERE P.ProductID=@PID END",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana cara mendapatkan nilai identity (EmpID) setelah menyisipkan data karyawan menggunakan output parameter?,"Prosedur ins_NewEmp_with_outputparamaters menerima parameter output @EId; setelah INSERT, nilai @EId diisi dengan SCOPE_IDENTITY() sehingga dapat di‑retrieve oleh pemanggil.","CREATE PROCEDURE ins_NewEmp_with_outputparamaters (@Ename varchar(50),@EId int output) AS BEGIN SET NOCOUNT ON INSERT INTO Employee (EmpName) VALUES (@Ename) SELECT @EId= SCOPE_IDENTITY() END",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana cara melihat kode sumber sebuah stored procedure dan apa yang terjadi jika prosedur tersebut dienkripsi?,"Kode sumber dapat ditampilkan dengan perintah sp_helptext <nama prosedur>. Jika prosedur dibuat dengan opsi ENCRYPTION, sp_helptext akan mengembalikan pesan bahwa teks objek tersebut terenkripsi.","We can type Sp_helptext <store procedure's name> to print the source code of the store procedure. When we try to view the code of the SQL Server stored procedure using sp_helptext, it returns ""The text for object 'GetEmployees' is encrypted.""",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
