pertanyaan,jawaban,sumber,mata_kuliah,sumber_dokumen
Apa saja komponen utama bahan kajian dalam mata kuliah ini?,"Perancangan basisdata, constraint, kalimat IF, kalimat pengulangan, stored procedure, view, function, dan trigger.",Bahan kajian: Perancangan basisdata Constraint Kalimat IF Kalimat Pengulangan Stored Procedure Constraint View Function Trigger,Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Berapa bobot total penilaian untuk subCPMK‑6?,"SubCPMK‑6 memiliki bobot 17 % (tugas terstruktur 5 %, latihan kuis 5 %, ujian (UAS) 7 %).",sub CPMK 6 17 v tugas terstruktur (5%) Latihan Kuis(5%) Ujian Sub CPMK (UAS)(7%),Basis Data 2,ISB_212_Basisdata2_RPS (1).txt
Apa dua bentuk pernyataan CASE yang dapat digunakan di SQL Server?,"Kalimat CASE .. OF dengan ekspresi sederhana, dan kalimat CASE .. OF dengan perbandingan atau ekspresi yang dicari.","Pernyataan kasus dapat digunakan dalam dua bentuk di SQL Server:
1. Kalimat CASE .. OF dengan ekspresi sederhana.
2. Kalimat Case ..OF dengan perbandingan atau ekspresi yang dicari.",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Bagaimana sintaks umum untuk CASE dengan ekspresi sederhana?,CASE expression WHEN exp_1 THEN result_1 [WHEN exp_2 THEN result_2] … [WHEN exp_n THEN result_n] [ELSE expression] END.,"Sintaks umum dari kalimat Case Of sederhana adalah sebagai berikut:
CASE expression
WHEN exp_1 THEN result_1
[WHEN exp_2 THEN result_2]
[..................]
[WHEN exp_n THEN result_n]
[ELSE expression]
END",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
"Pada contoh program pertama, apa nilai yang akan dihasilkan ketika variabel @Name berisi 'Rohatash'?",Name Found Rohatash,WHEN 'Rohatash' THEN 'Name Found Rohatash',Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Mengapa contoh program kedua menghasilkan 'Name not Found' padahal @Name berisi 'Rohatash'?,"Karena pernyataan CASE membandingkan nilai 'Rohatash' dengan string 'Rohatash Kumar', yang tidak cocok, sehingga klausa ELSE dijalankan dan menghasilkan 'Name not Found'.",WHEN 'Rohatash Kumar' THEN 'Name Found Rohatash' ELSE 'Name not Found',Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa sintaks umum untuk CASE dengan ekspresi pencarian (boolean)?,CASE WHEN condition_1 THEN result_1 [WHEN condition_2 THEN result_2] … [WHEN condition_n THEN result_n] [ELSE expression] END.,"Sintaks umum dari kalimat CASE..OF... dengan ekspresi pencarian :
CASE
WHEN condition_1 THEN result_1
[WHEN condition_2 THEN result_2]
[..................]
[WHEN condition_n THEN result_n]
[ELSE expression]
[else result_n]
END",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Bagaimana cara menambahkan kolom Remarks yang menunjukkan 'Pass' bila Marks > 32 dan 'Fail' bila tidak pada tabel student?,Menggunakan CASE: CASE When Marks > 32 Then 'Pass' Else 'Fail' End as Remarks.,Case When Marks > 32 Then 'Pass' Else 'Fail' End as Remarks,Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Bagaimana menambahkan kolom Grade berdasarkan nilai Marks pada contoh tabel student?,Menggunakan CASE: CASE When Marks >= 76 Then 'A+' When Marks >= 65 Then 'A' When Marks < 35 Then 'E' End as Grade.,"Case When Marks >= 76 Then 'A+'
When Marks >= 65 Then 'A'
When Marks < 35 Then 'E'
End as Grade",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa perbedaan penggunaan klausa WHERE dan ORDER BY pada pernyataan SELECT yang mengandung CASE?,"Klausa WHERE menyaring baris sebelum ditampilkan (contoh: FROM Student where marks< 35), sedangkan klausa ORDER BY mengurutkan hasil yang ditampilkan berdasarkan kolom tertentu (contoh: FROM Student order by Marks).","Select Stu_Id,Stu_Name,Marks,
Case When Marks > 32 Then 'Pass' Else 'Fail'
End as Remarks,
Case When Marks >= 76 Then 'A+'
When Marks >= 65 Then 'A'
When Marks < 35 Then 'E'
End as Grade
From Student where marks< 35
...
From Student order by Marks",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa sintaks dasar perulangan WHILE di SQL Server?,WHILE condition BEGIN {...statements...} END.,"WHILE condition
BEGIN
{...statements...}
END",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Bagaimana cara menghentikan loop WHILE secara paksa ketika counter mencapai nilai tertentu?,"Dengan menggunakan pernyataan BREAK di dalam blok IF, misalnya: IF @Counter >=7 BEGIN BREAK END.","IF @Counter >=7
BEGIN
BREAK
END",Basis Data 2,LABORATORIUM_ISA212_w4_teori.txt
Apa keuntungan utama dalam memodifikasi kode stored procedure dibandingkan mengubah kode di aplikasi?,"Stored procedure dapat dimodifikasi dengan mudah menggunakan pernyataan ALTER PROCEDURE tanpa harus me‑restart atau melakukan redeploy aplikasi, karena kode tersimpan di dalam database.","It can be easily modified: We can easily modify the code inside the stored procedure without the need to restart or deploying the application. ... SQL Server Stored procedures eliminate such challenges by storing the code in the database. so, when we want to change the logic inside the procedure we can just do it by simple ALTER PROCEDURE statement.",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana stored procedure dapat mengurangi lalu lintas jaringan?,"Ketika menggunakan stored procedure, yang dikirim melalui jaringan hanya nama prosedurnya, bukan seluruh perintah T‑SQL, sehingga lalu lintas jaringan berkurang.","Reduced network traffic: When we use stored procedures instead of writing T-SQL queries at the application level, only the procedure name is passed over the network instead of the whole T-SQL code.",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Sebutkan dua jenis temporary stored procedure di SQL Server dan perbedaannya.,"Ada prosedur sementara lokal yang diawali dengan tanda # dan hanya dapat diakses pada sesi pembuatnya, serta prosedur sementara global yang diawali dengan ## dan dapat diakses oleh sesi lain; keduanya otomatis dihapus ketika koneksi yang membuatnya ditutup.","There are two types of temporary procedures, one is a local temporary stored procedure and another one is a global temporary procedure. ... Local temporary SQL Server stored procedures: These are created with # as prefix and can be accessed only in the session where it created. ... Global temporary SQL Server stored procedures: These procedures are created with ## as prefix and can be accessed on the other sessions as well.",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana cara menampilkan kode sumber sebuah stored procedure yang tidak terenkripsi?,"Gunakan perintah sp_helptext diikuti nama prosedur, misalnya sp_helptext GetProductDesc, untuk menampilkan kode sumbernya.",We can type Sp_helptext <store procedure's name> to print the source code of the store procedure. For Example : sp_helptext GetProductDesc,Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Apa yang terjadi jika sebuah stored procedure dibuat dengan opsi ENCRYPTION?,Kode sumber prosedur tidak dapat ditampilkan; perintah sp_helptext akan mengembalikan pesan bahwa teks objek tersebut terenkripsi.,"When we try to view the code of the SQL Server stored procedure using sp_helptext, it returns ""The text for object 'GetEmployees' is encrypted.""",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana cara mengeksekusi stored procedure yang memiliki parameter input?,"Panggil prosedur dengan menuliskan nama prosedur diikuti nilai parameter, contohnya EXEC GetProductDesc_withparameters 706.",Executing stored procedure with input parameter EXEC GetProductDesc_withparameters 706,Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Apa perbedaan antara parameter default dan parameter biasa pada stored procedure?,"Jika prosedur dipanggil tanpa menyertakan nilai parameter, nilai default yang didefinisikan akan dipakai; namun bila nilai diberikan, nilai tersebut akan menggantikan nilai default.","When we execute the above procedure without passing the parameter value, the default value 706 will be used. But when executed passing the value, the default value will be ignored and the passed value will be considered as a parameter.",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana cara mendeklarasikan dan mengambil nilai output parameter dari stored procedure?,"Deklarasikan variabel untuk menampung nilai output, lalu panggil prosedur dengan menambahkan variabel tersebut diikuti kata kunci OUTPUT, contoh: declare @EmpID INT; EXEC ins_NewEmp_with_outputparamaters 'Andrew', @EmpID OUTPUT; SELECT @EmpID.","We must declare the variable to store the value returned by the output parameter. declare @EmpID INT EXEC ins_NewEmp_with_outputparamaters 'Andrew', @EmpID OUTPUT SELECT @EmpID",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Perintah apa yang digunakan untuk mengubah (modify) sebuah stored procedure yang sudah ada?,Gunakan pernyataan ALTER PROCEDURE untuk memodifikasi prosedur yang sudah ada.,Use the ALTER PROCEDURE statement to modify the existing stored procedure.,Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Bagaimana cara mengganti nama sebuah stored procedure menggunakan T‑SQL?,"Gunakan prosedur sistem sp_rename, misalnya sp_rename 'GetProductDesc','GetProductDesc_new' untuk mengubah nama prosedur.","To rename a stored procedure using T‑SQL, use system stored procedure sp_rename. ... sp_rename 'GetProductDesc','GetProductDesc_new'",Basis Data 2,PENGENALAN STORED PROCEDURE_w4.txt
Apa saja tiga jenis fungsi yang dapat didefinisikan pengguna (User Defined Function) dalam SQL Server?,"Scalar Function, Inline table-valued function, dan Multi-statement table-valued function.",Types of User defined function Scalar Function Inline table-valued function Multi-statement table-valued function,Basis Data 2,scalar USER DEFINED FUNCTION.txt
Bagaimana cara kerja fungsi skalar (Scalar Function) dan apa manfaatnya?,"Fungsi skalar mengambil satu atau beberapa parameter dan mengembalikan satu nilai, sehingga dapat menyederhanakan kode dengan merangkum perhitungan kompleks yang sering dipakai.",Fungsi skalar SQL Server mengambil satu atau beberapa parameter dan mengembalikan satu nilai. Fungsi skalar membantu Anda menyederhanakan kode Anda.,Basis Data 2,scalar USER DEFINED FUNCTION.txt
