question,ground_truth,major,document_source,question_type,,
Apa urutan Proses Integrasi Manajemen Proyek?,"1. Mengembangkan Project Charter
2. Mengembangkan Perencanaan Proyek
3. Mengarahkan dan mengelola pekerjaan proyek
4. Mengelola pengetahuan proyek
5. Pemantauan dan pengendalian pekerjaan proyek
6. Melakukan kontrol perubahan terpadu
7. Menutup proyek",Manajemen Proyek Sistem Informasi,Week4 Project Integration Management,Prosedural,,
Bagaimana langkah-langkah instalasi SQL express 2025?,"1. Buka tautan https://www.microsoft.com/en-us/sql-server/sql-server-downloads.
2. Cari opsi SQL Express 2025, lalu klik Download.
3. Klik dua kali pada file installer yang telah diunduh, lalu pilih opsi Basic.
4. Klik Accept dan tunggu sampai proses instalasi selesai.
5. Setelah selesai, akan muncul Server Name yang perlu dicatat untuk keperluan login di SSMS nantinya.",Basis Data Praktikum AA,INSTALASI SQL SERVER EXPRESS 2025,Prosedural,,
Bagaimana langkah-langkah login SSMS?,"1. Pastikan SQL Express sudah terinstal sebelum melakukan login.
2. Masuk ke aplikasi SSMS dan isi kolom Server Name (nama server dapat dilihat pada System Information).
3. Jika tidak bisa terhubung (connect) setelah memasukkan Server Name, salin nama sistem tersebut dan tambahkan \SQLEXPRESS di belakangnya tanpa spasi. Jika tidak ada SQL Express, coba gunakan Local Host.
4. Centang opsi ""Trust Server Certificate"".
5. Klik tombol Connect.",Basis Data Praktikum AA,INSTALASI SQL SERVER EXPRESS 2025,Prosedural,,
Sebutkan dan jelaskan tahapan-tahapan proses manajemen risiko proyek secara berurutan!,"1. Planning risk management: Memutuskan bagaimana mendekati dan merencanakan kegiatan manajemen risiko untuk proyek.
2. Identifying risks: Menentukan risiko mana yang mungkin mempengaruhi proyek dan mendokumentasikan karakteristik masing-masing.
3. Performing qualitative risk analysis: Memprioritaskan risiko berdasarkan probabilitas dan dampak kejadiannya.
4. Performing quantitative risk analysis: Secara numerik memperkirakan efek risiko pada tujuan proyek.
5. Planning risk responses: Mengambil langkah-langkah untuk meningkatkan peluang dan mengurangi ancaman untuk memenuhi tujuan proyek.
6. Controlling risk: Memantau risiko teridentifikasi dan residual, mengidentifikasi risiko baru, melaksanakan rencana respons risiko, dan mengevaluasi efektivitas strategi risiko.",Manajemen Proyek Sistem Informasi,Week13 Project Risk Management,Prosedural,,
Apa saja SubCPMK dari mata kuliah Sistem Operasi secara berurutan? Dan apa kemampuan yang harus dimiliki mahasiswa pada masing masing SubCPMK?,"SubCPMK-1: Mahasiswa mampu menjelaskan pengertian dasar, manfaat dan cara kerja sistem operasi, baik open source ataupun tidak.
SubCPMK-2: Mahasiswa mampu menjelaskan konsep dasar, manajmene file, kernel, shell, utility dasar dan manajemen 
memory pada sistem operasi. 
SubCPMK-3: Mahasiswa mampu menjelaskan System kerja I/O,  konsep penjadwalan  masalah yang terjadi saat deadlock dan 
serangan yang bisa dilakukan pada sistem operasi.
SubCPMK-4: Mahasiswa mampu menerapkan konsep dasar protokol, soket dan beberapa perintah commadline pada system operasi linux.
SubCPMK-5: Mahasiswa mampu mempresentasikan implementasi keterhubungan antar OS yang berbeda.",Sistem Operasi,RPS ISB-208 Sistem_operasi_revisi,Prosedural,,
Apa saja bahan kajian dari mata kuliah Struktur Data secara tururut?,"1. Pengenalan struktur data linear dan non-linear 
2. Menentukan kompleksitas waktu dan kompleksitas ruang menggunakan notasi Big-O dan Big Omega 
3. Struktur data linear statis Array 
4. Struktur data linear statis Hash Table 
5. Struktur data linear dinamis Linked List 
6. Struktur data linear dinamis Stack 
7. Struktur data linear dinamis Queue 
8. Struktur data non-linear Map 
9. Struktur data non-linear Tree 
10. Struktur data non-linear Graph 
11. Struktur data Recursion 
12. Sorting pada Struktur Data 
13. Searching pada Struktur Data 
14. Struktur data Dynamic Programming: BFS, DFS, Greedy",Struktur Data,RPS ISB-204 Struktur Data,Prosedural,,
Bagaimana tahapan urutan SubCPMK mahasiswa dari awal semester hingga pelaksanaan Ujian Tengah Semester (UTS) pada mata kuliah Sistem Operasi?,"1. SubCPMK-1: Mampu menjelaskan pengertian dasar, manfaat dan cara kerja sistem operasi
2. SubCPMK-2: Mampu menjelaskan konsep dasar, manajemen file, kernel, shell, utility dasar dan manajemen memory pada sistem operasi
3. SubCPMK-3: Mampu menjelaskan System kerja I/O, konsep penjadwalan masalah yang terjadi saat deadlock dan serangan yang bisa dilakukan pada sistem operasi, dan 
4. Pelaksanaan Ujian Tengah Semester (UTS) pada minggu ke-8.",Sistem Operasi,RPS ISB-208 Sistem_operasi_revisi,Prosedural,,
Apa 14 langkah quality improvement yang dikembangkan oleh Crosby?,"1. Menegaskan komitmen manajemen terhadap kualitas
2. Membentuk tim perbaikan kualitas yang mewakili setiap departemen,
3. Mengidentifikasi lokasi masalah kualitas saat ini dan yang berpotensi terjadi
4. Mengevaluasi biaya kualitas dan menjelaskan penggunaannya sebagai alat manajemen
5. Meningkatkan kesadaran kualitas dan kepedulian pribadi seluruh karyawan
6. Mengambil tindakan korektif untuk mengatasi masalah yang teridentifikasi,
7. Membentuk komite untuk program bebas cacat (zero-defects)
8. Melatih para supervisor untuk menjalankan peran mereka dalam program perbaikan kualitas
9. Mengadakan Zero-Defects Day untuk menyadarkan karyawan akan adanya perubahan
10. Mendorong individu dan kelompok untuk menetapkan tujuan perbaikan mereka sendiri
11. Mendorong karyawan mengomunikasikan hambatan yang dihadapi dalam mencapai tujuan kepada manajemen
12. Memberikan pengakuan dan penghargaan kepada pihak yang berpartisipasi
13. Membentuk dewan kualitas untuk berkomunikasi secara berkala, dan
14. Mengulangi seluruh proses dari awal untuk menegaskan bahwa program perbaikan kualitas bersifat berkelanjutan dan tidak pernah berakhir.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Information Technology Project Management-Cengage (2019),Prosedural,,
Bagaimana urutan capability levels dalam Capability Maturity Model Integratiomulai dari tingkat terendah hingga tingkat tertinggi?,"0. Incomplete: Proses tidak dilakukan atau hanya dilakukan sebagian, serta tidak memenuhi satu atau lebih tujuan spesifik area proses.
1. Performed: Proses telah memenuhi tujuan spesifik area proses dan menghasilkan produk kerja, namun perbaikan yang terjadi dapat hilang jika tidak diinstitusionalkan.
2. Managed: Proses memiliki infrastruktur dasar, direncanakan dan dieksekusi berdasarkan kebijakan, serta melibatkan staf yang terampil dengan sumber daya memadai.
3. Defined: Proses didefinisikan secara ketat di mana standar, deskripsi proses, dan prosedur tiap proyek disesuaikan dari proses standar organisasi.
4. Quantitatively managed: Proses dikendalikan dan dikelola menggunakan teknik statistik serta teknik kuantitatif lainnya.
5. Optimizing: Proses terus ditingkatkan secara berkelanjutan melalui perbaikan yang bersifat inkremental dan inovatif berdasarkan pemahaman atas penyebab variasi proses.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Information Technology Project Management-Cengage (2019),Prosedural,,
Bagaimana urutan tahapan tiga proses utama dalam Manajemen Komunikasi Proyek beserta penjelasannya?,"1. Planning communications management: Menentukan kebutuhan informasi dan komunikasi dari para stakeholders, seperti siapa yang membutuhkan informasi, kapan dibutuhkan, dan bagaimana cara penyampaiannya. Outputnya meliputi rencana manajemen komunikasi dan pembaruan dokumen proyek.
2. Managing communications: Membuat, mendistribusikan, menyimpan, mengambil, dan membuang komunikasi proyek berdasarkan rencana manajemen komunikasi yang telah dibuat. Output utamanya meliputi komunikasi proyek, pembaruan dokumen proyek, pembaruan rencana manajemen proyek, dan pembaruan aset proses organisasi.
3. Controlling communications: Memantau dan mengendalikan komunikasi proyek secara berkelanjutan untuk memastikan bahwa kebutuhan komunikasi seluruh pemangku kepentingan telah terpenuhi.",Manajemen Proyek Sistem Informasi,Manajemen Proyek Sistem informasi/Schwalbe 8th - Chapter 10,Prosedural,,
pa perbedaan antara sistem file FAT32 dan NTFS dalam hal kepemilikan fasilitas keamanan file?,"NTFS memiliki fasilitas keamanan bawaan (built-in security) yang memungkinkan pengaturan izin akses (permission) untuk masing-masing file maupun direktori, sedangkan FAT32 tidak memiliki fasilitas keamanan file tersebut.",Sistem Operasi,file_system_2_1_ringkas,Komparatif,,
Apa perbedaan antara Local Temporary Stored Procedure dan Global Temporary Stored Procedure pada SQL Server?,"Local Temporary Stored Procedure dibuat dengan prefiks # dan hanya dapat diakses di dalam sesi tempat prosedur tersebut dibuat, lalu otomatis dihapus saat koneksi ditutup. Sedangkan Global Temporary Stored Procedure dibuat dengan prefiks ##, dapat diakses oleh sesi/koneksi lain, dan baru otomatis dihapus ketika koneksi pembuatnya ditutup.",Basis Data 2,PENGENALAN STORED PROCEDURE_w4,Komparatif,,
Apa perbedaan aksi antara pilihan NO ACTION dan CASCADE pada klausa ON DELETE atau ON UPDATE di FOREIGN KEY constraint?,"NO ACTION, operasi pembaruan atau penghapusan data pada tabel induk (parent table) akan gagal dan menghasilkan error. Sebaliknya, jika diatur ke CASCADE, tindakan penghapusan atau pembaruan pada tabel induk secara otomatis diterapkan ke baris/nilai yang berhubungan di tabel anak (child table).",Basis Data 2,Constraint in SQL Server 2012,Komparatif,,
Apa perbedaan mekanisme penyebaran antara program jahat jenis virus dan worm?,"Virus adalah kode yang menempel pada suatu program dan baru akan mereplikasi diri serta menginfeksi file lain, sedangkan worm dapat mereplikasi dirinya sendiri tanpa harus dijalankan dan menyebar ke komputer lain melalui jaringan.",Sistem Operasi,Keamanan Sistem Operasi,Komparatif,,
Apa perbedaan fokus capaian pembelajaran antara CPMK-1 dan CPMK-2 pada mata kuliah Rekayasa Perangkat Lunak?,"CPMK-1 berfokus pada pemanfaatan pengetahuan terkait konsep dasar, prinsip, metodologi, serta penggunaan tools untuk meningkatkan efektivitas dan produktivitas proses pengembangan perangkat lunak, sedangkan CPMK-2 berfokus pada penerapan konsep manajemen informasi, penyusunan pemodelan dan abstraksi data, serta pembangunan aplikasi perangkat lunak untuk pengorganisasian data yang teruji dan memiliki keamanan akses.",Rekayasa Perangkat Lunak,RPS ISB-202 Rekayasa Perangkat Lunak,Komparatif,,
"Pertanyaan: Bagaimana perbandingan bobot SKS antara mata kuliah Struktur Data (ISB-204), Rekayasa Perangkat Lunak (ISB-202), dan Sistem Operasi & Keamanan Sistem Informasi (ISB-208)?","Mata kuliah Struktur Data memiliki bobot sebesar 3 sks, Rekayasa Perangkat Lunak memiliki bobot sebesar 4 sks, dan Sistem Operasi memiliki bobot sebesar 2 sks","Struktur Data, Rekayasa perangkat Lunak, Sistem Operasi","RPS ISB-202 Rekayasa Perangkat Lunak,  RPS ISB-204 Struktur Data, RPS ISB-208 Sistem_operasi_revisi",Komparatif,,
"apa perbedaan indikator pada SubCPMK 2, dan SubCPMK 3 pada matakuliah Struktur Data?","pada mata kuliah Struktur Data, SubCPMK 2 memiliki indikator sebagai berikut: ketepatan menerapkan konsep struktur data linear dinamis List, ketepatan menerapkan konsep struktur data linear dinamis Stack, ketepatan menerapkan konsep struktur data linear dinamis Queue, kebenaran sintaks kode program yang ditulis. Sedangkan SubCPMK 3 memiliki indikator sebagai berikut: Ketepatan menjelaskan kompleksitas waktu dari struktur data linear statis, ketepatan menjelaskan kompleksitas ruang dari struktur data linear statis, Ketepatan menjelaskan kompleksitas waktu dari struktur data linear dinamis, dan ketepatan menjelaskan kompleksitas ruang dari struktur data linear dinamis",Struktur Data,RPS ISB-204 Struktur Data,Komparatif,,
Apa perbedaan utama antara estimasi Rough Order of Magnitude (ROM) dan Definitive estimate dalam manajemen biaya proyek?,"Estimasi ROM dilakukan sangat awal dalam siklus proyek (seringkali 3-5 tahun sebelum selesai) dengan tingkat akurasi yang sangat longgar, yaitu -50% hingga +100%. Sebaliknya, Definitive estimate dilakukan menjelang akhir proyek (kurang dari 1 tahun sebelum selesai) untuk memberikan rincian pembelian dan estimasi biaya aktual dengan tingkat akurasi yang jauh lebih ketat, yaitu -5% hingga +10%.",Manajemen Proyek Sistem Informasi,Book-ProjectCostManagement,Komparatif,,
Apa perbedaan proses antara Collecting requirements (pengumpulan kebutuhan) dan Defining scope (penentuan lingkup) dalam manajemen lingkup proyek?,"Collecting requirements berfokus pada pendefinisian dan pendokumentasian fitur serta fungsi produk dan proses pembuatannya berdasarkan ekspektasi pemangku kepentingan. Sementara itu, Defining scope melibatkan peninjauan rencana manajemen lingkup, piagam proyek, dan dokumen kebutuhan untuk menghasilkan pernyataan lingkup (project scope statement) yang lebih rinci dan mendalam.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Project Scope Management,Komparatif,,
Bagaimana perbandingan cara kerja antara pendekatan pengembangan WBS Top-down dan Bottom-up?,"Pendekatan top-down dimulai dari mengambil item terbesar dari proyek lalu memecahnya secara berjenjang ke dalam item-item bawahan yang lebih detail. Sebaliknya, pendekatan bottom-up dimulai dengan meminta anggota tim mengidentifikasi sebanyak mungkin tugas spesifik terlebih dahulu, lalu mengelompokkan dan mengagregasikannya ke dalam aktivitas ringkasan di level WBS yang lebih tinggi.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Project Scope Management,Komparatif,,
Apakah constraint PRIMARY KEY mengizinkan adanya nilai NULL di dalam kolom yang berpartisipasi?,"Tidak, karena constraint PRIMARY KEY mengombinasikan UNIQUE dan NOT NULL, sehingga kolom yang berpartisipasi di dalamnya tidak menerima dan tidak mengizinkan nilai NULL.",Basis Data 2,CONSTRAINT IN SQL SERVER 2012,Boolean,,
Apakah Product Owner dalam kerangka Scrum bertanggung jawab penuh untuk mengimplementasikan user stories ke dalam kode program sampai diuji?,"Tidak, karena pihak yang bertanggung jawab mengimplementasikan user stories ke dalam kode program hingga pengujian adalah Development Team, sedangkan Product Owner bertanggung jawab memaksimalkan nilai bisnis dan mengelola Product Backlog.",Rekayasa Perangkat Lunak,TM-06 - Pengembangan Perangkat Lunak Agile,Boolean,,
Apakah kode sumber (source code) di dalam stored procedure yang dibuat dengan opsi WITH ENCRYPTION dapat ditampilkan kembali menggunakan perintah sp_helptext?,"Tidak, karena opsi WITH ENCRYPTION telah menyembunyikan kode sumber prosedur tersebut di dalam basis data. Saat mencoba menampilkan teksnya menggunakan sp_helptext, sistem hanya mengembalikan pesan bahwa teks untuk objek tersebut telah terenkripsi.",Basis Data 2,PENGENALAN STORED PROCEDURE_w4,Boolean,,
Apakah CASE digunakan untuk membandingkan suatu ekspresi dengan sekumpulan nilai dalam basis data?,"Ya, CASE digunakan untuk  membandingkan satu ekspresi dengan sekumpulan nilai",Basis Data 2 Praktikum AA,MODUL4,Boolean,,
"Apakah bahan kajian mata kuliah Rekayasa Perangkat Lunak (ISB-202) mencakup Software Development Life Cycle (SDLC) dan model proses seperti Predictive, Iterative, serta RAD?","Ya, bahan kajian utama dari mata kuliah tersebut mencakup Software Development Life Cycle (SDLC) serta berbagai model proses meliputi Predictive, Iterative, dan Rapid Application Development (RAD).",Rekayasa Perangkat Lunak,RPS ISB-202 Rekayasa Perangkat Lunak,Boolean,,
Apakah SubCPMK-1 pada mata kuliah Rekayasa Perangkat Lunak secara khusus berfokus pada pembelajaran manajemen proyek dengan pendekatan prediktif?,"Tidak, karena penjelasan manajemen proyek dengan pendekatan prediktif merupakan fokus dari SubCPMK-2.",Rekayasa Perangkat Lunak,RPS ISB-202 Rekayasa Perangkat Lunak,Boolean,,
Apakah buku karya Dhananjay M. Dhamdhere yang berjudul Operating System - A Concept-Based Approach terdaftar sebagai salah satu pustaka utama dalam mata kuliah Sistem Operasi?,"Ya, buku tersebut tercantum sebagai salah satu referensi pustaka utama mata kuliah Sistem Operasi.",Sistem Operasi,RPS ISB-208 Sistem_operasi_revisi,Boolean,,
Apakah pendekatan prediktif cocok digunakan ketika terdapat tingkat perubahan kebutuhan yang sangat tinggi,"Tidak, karena pendekatan prediktif cocok digunakan saat tingkat perubahan lingkup rendah, sedangkan tingkat perubahan yang tinggi lebih cocok diselesaikan dengan pendekatan adaptif atau agile.",Manajemen Proyek Sistem Informasi,Kathy Schwalbe - Information Technology Project Management-Cengage (2019),Boolean,,
Apakah sunk cost harus dipertimbangkan ketika sebuah organisasi mengambil keputusan untuk melanjutkan atau menghentikan proyek?,"Tidak, karena sunk cost adalah uang yang telah dikeluarkan di masa lalu dan tidak dapat dikembalikan.",Manajemen Proyek Sistem Informasi,Book-ProjectCostManagement,Boolean,,
Apakah melampaui persyaratan kualitas atau exceeding quality requirements dapat berdampak negatif pada anggaran dan jadwal proyek?,"Ya, karena pekerjaan tambahan untuk melampaui standar membutuhkan biaya berupa waktu atau uang yang tidak dianggarkan sebelumnya, yang memaksa proyek membutuhkan lebih banyak dana atau harus mengurangkan lingkup kerja.",Manajemen Proyek Sistem Informasi,Plano da qualidade do projeto,Boolean,,
Mengapa penentuan quantum time yang terlalu kecil pada algoritma Round-Robin Scheduling (RRS) dapat menurunkan kinerja CPU?,Quantum time yang terlalu kecil akan menyebabkan frekuensi context switching menjadi sangat tinggi. Hal ini mengakibatkan terjadinya overhead pada CPU.,Sistem Operasi,RRS,Analitis,,
Mengapa mekanisme One-Time Password (OTP) mampu memberikan tingkat keamanan yang lebih tinggi dibandingkan kata sandi biasa?,"Mekanisme OTP memberikan keamanan tambahan karena kata sandi yang dihasilkan bersifat unik dan hanya berlaku untuk satu kali sesi login. Setelah digunakan, kata sandi tersebut kedaluwarsa dan tidak dapat digunakan kembali oleh pihak yang tidak berwenang",Sistem Operasi,Keamanan Sistem Operasi,Analitis,,
Mengapa ancaman program berjenis Logic Bomb lebih sulit untuk dideteksi dibandingkan jenis ancaman program biasa?,"Logic Bomb lebih sulit dideteksi karena program tersebut berfungsi dan berperilaku normal seperti program asli pada kondisi biasa, dan baru akan menjalankan kode jahatnya hanya ketika kondisi tertentu yang disyaratkan telah terpenuhi.",Sistem Operasi,Keamanan Sistem Operasi,Analitis,,
Mengapa penerapan teknik Pair Programming dalam Extreme Programming (XP) dapat mengurangi risiko keseluruhan proyek apabila terdapat anggota tim yang mengundurkan diri atau keluar?,Pair Programming dapat mengurangi risiko proyek ketika ada anggota tim yang keluar karena terjadi proses berbagi pengetahuan (knowledge sharing) secara intensif dan terus-menerus antar pasangan programmer selama mereka bekerja bersama di satu komputer yang sama.,Rekayasa Perangkat Lunak,TM-06 - Pengembangan Perangkat Lunak Agile,Analitis,,
Mengapa pembuatan View dapat dijadikan salah satu strategi untuk meningkatkan keamanan data pada suatu basis data?,View meningkatkan keamanan data karena bertindak sebagai tabel virtual yang dapat menyembunyikan kolom-kolom sensitif dari tabel fisik.,Basis Data Praktikum AA,Modul10_Prak212Basdat2,Analitis,,
Mengapa manajemen proyek perangkat lunak perlu dipelajari menggunakan pendekatan prediktif pada tahap awal pembelajaran?,"Pendekatan prediktif digunakan dalam manajemen proyek perangkat lunak untuk menentukan lingkup, waktu, dan biaya secara jelas agar proyek dapat direncanakan dengan baik",Rekayasa Perangkat Lunak,RPS ISB-202 Rekayasa Perangkat Lunak,Analitis,,
Mengapa tim pengembang membutuhkan tools Version Control System (seperti Git) dan Semantic Versioning dalam manajemen konfigurasi perangkat lunak?,Pemanfaatan tools Version Control System penting dilakukan untuk melakukan penelusuran serta mengelola dan merekam/mencatat segala perubahan yang terjadi pada perangkat lunak.,Rekayasa Perangkat Lunak,RPS ISB-202 Rekayasa Perangkat Lunak,Analitis,,
Mengapa penambahan jumlah anggota dalam suatu tim proyek dapat meningkatkan kompleksitas komunikasi secara drastis?,"Karena jumlah saluran komunikasi bertambah secara eksponensial mengikuti rumus n(n-1)/2 (di mana n adalah jumlah orang), dimana Semakin banyak saluran komunikasi yang terbentuk, semakin tinggi risiko terjadinya miskomunikasi dan hambatan manajemen dalam memastikan informasi tersampaikan serta dipahami dengan benar oleh seluruh anggota.",Manajemen Proyek Sistem Informasi,Schwalbe 8th - Chapter 10,Analitis,,
Mengapa prinsip manajemen kualitas modern lebih mengutamakan pendekatan pencegahan (prevention) dibandingkan inspeksi (inspection)?,"Manajemen kualitas modern mengutamakan pencegahan karena kualitas dirancang dan dibangun sejak awal, di mana biaya untuk mencegah terjadinya kesalahan secara umum jauh lebih murah dibandingkan biaya untuk memperbaiki kesalahan setelah ditemukan melalui proses inspeksi.",Manajemen Proyek Sistem Informasi,Plano da qualidade do projeto,Analitis,,
"Mengapa metode bottom-up estimating menghasilkan estimasi biaya yang lebih akurat, namun jarang digunakan pada tahap awal proyek?","Metode bottom-up estimating lebih akurat karena estimasi dilakukan pada item pekerjaan yang lebih kecil (work package) oleh orang yang secara langsung bertanggung jawab mengerjakan tugas tersebut. Namun, metode ini jarang digunakan di awal proyek karena prosesnya yang time-intensive sehingga mahal untuk dikembangkan.",Manajemen Proyek Sistem Informasi,Project Cost Management,Analitis,,
